id;further_remarks
977318;Präsentieren und Anschauen der Ergebnisse der Projektwoche
1004805;Aufsicht Neues Klassenhaus Lieferungen und Verräumen in Vertretung des HM
963666;Vertretungsbereitschaft
902054;AuB Abrechnung
964678;Abrechnung AuB
419025;Termin beim Personalärztlichen Dienst
675130;Verpflichtende Studienteilnahme IQB
79138;Warten auf Dienste
475943;Beurteilungsbesprechung
935072;Theateraufführung der Stufen 8 und 9 besucht
935087;Vorsitz Abiturprüfung (F-Zeit)
935097;Vorsitz Abiturprüfung (F-Zeit)
935099;Zeugniserstellung als Klassenlehrerin
935117;Vorsitz Abiturprüfung (F-Zeit) Vorbereitung auf die Prüfungen
935125;Vorsitz Abiturprüfung (F-Zeit) Vorbereitung auf die Prüfungen
935127;Vorsitz Abiturprüfung (F-Zeit) Vorbereitung auf die Prüfungen
987256;Praktikumsbesuch
987258;Praktikumsbesuch
354887;Papier aufgehoben mit schuelern
917115;Hospitation PP PGW
106880;Elternabend
870290;Feueralarm
138590;Anträge Fahrtkosten notitzen
225168;Prüfung der Abrechnung
335623;Leider unklar, wo nun Telefon Gespräche, die wegen Fehl Planungen in Terminen entstanden sind, untergebracht werden sollen. Hier Gespräch mit Herrn Wolf wegen Überschneidungen im Klausurplan.
517470;Check Plagiat
525952;Umfrage-Teilnahme zur Arbeitsbelastung
553834;SEPA Caterer Schule
574494;Auswertung Feedbackbögen 7c Latein
797173;Konzertvorbereitungen (Moderation & Programm)
518847;Nelastungsstudie
592400;Verschieben von Klassenarbeitstermin (Planung und Eintragung in Liste online)
666934;Abgleich Krankenliste
776610;Vorbereitung Beurteilungshospitation
776614;Vorbereitung Beurteilungshospitation
780680;Vorbereitung Beurteilunshospitation
780695;Vorbereitung Beurteilungshospitation
832072;Reflexion Beurteilungshospi
839179;Vorbereitung Hospitationsbesprechung und Beurteilungsgespräch
859403;Unterlagen Beurteilung
865320;Terminplanung
952424;Reinigen und Aufräumen der Biologiesammlung nach einem Wasserschaden
289813;Organisation von Pflanzen für den Biologieunterricht
336742;Organisatorische Tätigkeit als Fachlehrkraft
576170;Organisatorische Tätigkeit als Fachlehrkraft
127075;Feedback Schulleitung
929000;Praktikumsbesuche
950966;Praktikumsbesuch
397150;Ferien
397151;Ferien
397152;Ferien
397154;Ferien
397155;Ferien
1008135;Sommerferien
1008136;Sommerferien
1008138;Sommerferien
1008141;Sommerferien
1008143;Sommerferien
1008145;Sommerferien
1008146;Sommerferien
1008148;Sommerferien
1008149;Sommerferien
1008151;Sommerferien
1008153;Sommerferien
999186;Vorbereitung Bunte Woche
999306;E-Mails löschen / sortieren
999307;Antrag LK Schulrestaurant
1016970;Kollegiumsfoto
901649;Materialsichtung und Bestellung als Fachlehrerin in Zusammenarbeit mit der Sonderpädagogin der Klasse
917761;Schulgarten
917783;Schulgarten
642646;Schulgarten
653328;Schulgarten
653329;Schulgarten
797539;Schulgarten Kommun.
797594;Schulgarten Mail
803801;Kollegiumsausflug
803804;Garten
812692;Schulgarten Mail
812723;Schulgarten Mail
812783;Schulgarten Mail
854512;Schulgarten
855600;Schulgarten
1002491;Neuen Stundenplan nachschauen, Sachen zusammen suchen
148291;"Ausfüllen Befragung zur LI-Umfrage ""Veranstaltungen mit Bildungsplanbezug"""
402881;Teamsbenachrichtigungen
571536;Vorbereitung Bunte Woche
217512;None
256869;Austauschvorbereitung
996569;Ummeldung Emails etc. neue Schule
996406;teilnähme an Umfrage zur Arbeitszeit
996520;Arbeitsorganisation (Aufräumen Klassenraum etc.)
480766;Noteneinpflegung
481685;Noteneinpflegung
553473;Besprechung Stundenverteilung Ges.
733347;Noteneintragung
819493;Noteneintragung
822361;Noten
810355;Umfrage zur Nutzung digitaler Endgeräte
945993;Praktikumsbesuche
964814;Praktikumsbesuch
310291;SV Treffen
950645;Einkauf Abschlussfeier
950630;Interview
206186;Vorbereitung neues Profil
206336;Tag der offenen Tür
614744;Zeitenorganisation, wann ist ein Treffen mit Kolleg:innen möglich?
774234;Behörde Reisepass beantragen für Klassenfahrt
786346;Empfehlungsschreiben für Yanez
996360;Vorbereitung und Durchführung Kollegiumsfeier
630017;Unterstufenmusical
937505;Praktikumsbesuch als Klassenlehrkraft
344824;viele verschiedene Dinge
938588;Fortbildungsportfolio
958263;Beurteilung lesen und Anmerkungen anfertigen
661133;Findungsausschuss
430673;Elternabend
431101;Befragung Göttingen
525248;Schulfest
530297;Befragung Zeiterfassungsstudie
112423;Dienstgespräch mit der Schulleitung
187654;Email-Kontakt mit und für Frau Stück
214666;Umfrage/Evaluation Erasmus+
222897;Absprachen Madrid-Austausch Spa 8
987743;Verabschiedung Kollegen
